"park_name","frac_sum","mean_frac","n_clusters","park_area"
"Addo-Elephant National Park",0.36,0.36,1,1375276260.54188
"Agulhas National Park",0.59,0.196666666666667,3,201289876.22721
"Anysberg Nature Reserve",1.49,0.3725,4,796901117.873327
"Assegaaibosch Nature Reserve",0.01,0.01,1,1988853.37407023
"Blaauwberg Contract Nature Reserve",0.11,0.055,2,14271146.1648646
"Blomboschfontein Nature Reserve",0,0,1,2653112.72929708
"Bokkeriviere Nature Reserve",0.16,0.16,1,69489055.2581627
"Bontebok National Park",0.14,0.14,1,34167440.0275848
"Boosmansbos Wilderness Area",0,0,1,140437309.116256
"Brandvlei Nature Reserve",0.36,0.072,5,25312313.6658353
"Brodie Link Nature Reserve",0.01,0.005,2,918861.776030697
"Buffalo Valley Contract Nature Reserve",0,0,1,3232889.74206795
"Cederberg Wilderness Area",1.15,0.2875,4,651342235.536978
"Dassen Island Reserve",0.03,0.015,2,2598249.52157155
"De Hoop Nature Reserve",1.14,0.228,5,340232766.112879
"De Mond Nature Reserve",0.01,0.01,1,9241345.80283027
"Doringrivier Wilderness Area",0.31,0.155,2,95232356.8726896
"Driftsands Nature Reserve",0.02,0.02,1,5068516.75476103
"Elands Bay Nature Reserve",0,0,1,3889235.23402458
"Fontein Nature Reserve",0.04,0.04,1,7927955.23459364
"Gamkaberg Nature Reserve",0.04,0.04,1,96948712.2334553
"Gamkaskloof (Die Hel) Nature Reserve",0,0,1,44262335.5113834
"Ganze Craal Nature Reserve",0.06,0.06,1,17863380.9605855
"Garden Route National Park",1.57,0.314,5,1000878045.1275
"Goukamma Nature Reserve",0.01,0.01,1,22655573.0853319
"Groenefontein Nature Reserve",0.1,0.05,2,52263073.8467947
"Groenlandberg Nature Reserve",0.07,0.035,2,51310636.9315397
"Groot Swartberg Nature Reserve",1.35,0.45,3,800890595.477151
"Grootvadersbosch (Thornhill) Nature Reserve",0.06,0.06,1,47504320.0005058
"Grootvadersbosch Nature Reserve",0.03,0.015,2,9429484.75322084
"Grootwinterhoek Nature Reserve",0.29,0.145,2,32101879.2288067
"Grootwinterhoek Wilderness Area",0.02,0.01,2,243104792.154639
"Hawequa Nature Reserve",0.88,0.125714285714286,7,425306245.789865
"Heimersrivier Nature Reserve",0.01,0.01,1,6798279.06311941
"Hexberg Nature Reserve",0.13,0.0433333333333333,3,16787782.3011499
"Hottentots-Holland Nature Reserve",0.16,0.08,2,131133553.969116
"Houwhoek Nature Reserve",0.18,0.09,2,32684043.8628882
"Jonkershoek Nature Reserve",0,0,1,145213201.552367
"Kammanassie - Annex Vlugt",0.02,0.00666666666666667,3,3938560.23448108
"Kammanassie Nature Reserve",0.32,0.16,2,270592018.328295
"Keurbooms River Nature Reserve",0.01,0.01,1,8948481.57796847
"Kogelberg Nature Reserve",0.5,0.0833333333333333,6,201094189.065811
"Kruis River Wetland Nature Reserve",0.01,0.01,1,1972182.96758754
"Marloth Nature Reserve",0.12,0.03,4,113240427.596328
"Matjiesrivier Nature Reserve",0.92,0.306666666666667,3,128794258.518538
"Mt Hebron Nature Reserve",0.05,0.0166666666666667,3,7689605.44610074
"Quoin Point Nature Reserve",0.07,0.0175,4,11243914.6268395
"Riverlands Nature Reserve",0.03,0.015,2,17144878.2410075
"Riviersonderend Nature Reserve",0.45,0.1125,4,266261318.540489
"Rocherpan Nature Reserve",0.25,0.125,2,9239043.73308628
"Rooiberg Nature Reserve",0.03,0.03,1,128437437.508892
"Ruitersbos Nature Reserve",0.51,0.1275,4,150410152.455331
"Soetendalsvlei Nature Reserve",0,0,1,4148971.57798445
"Swartberg East Nature Reserve",0.2,0.0666666666666667,3,189138546.005691
"Table Mountain National Park",0.91,0.303333333333333,3,220291393.903068
"Tankwa-Karoo National Park",1.02,0.255,4,1422694139.91764
"Theewaters Nature Reserve",0.69,0.08625,8,145397942.068306
"Towerkop Nature Reserve",0.24,0.08,3,189852521.975937
"Uilkraalsmond Nature Reserve",0.02,0.01,2,8000920.23437506
"Voelvlei Nature Reserve",0.09,0.045,2,8843943.34079357
"Vrolijkheid Nature Reserve",0.23,0.115,2,19657603.6169251
"Waenhuiskrans Nature Reserve",0,0,1,2547581.09431424
"Walker Bay Nature Reserve",0.69,0.115,6,35958439.9822371
"Waterval Nature Reserve",0.08,0.08,1,68446319.7127049
"West Coast National Park",1.36,0.34,4,323194737.610307
"Witfontein Nature Reserve",0.25,0.0625,4,143564602.707015
"Wittebrug Nature Reserve",0.06,0.03,2,16066788.8799003
